elf_code,country_code,entity_legal_form
CDOV,AG,International Business Corporation
CRL9,AW,Stichting
CYW2,AW,Vennootschap onder firma
GAJN,AW,Commanditaire vennootschap (1)
M27U,AW,Besloten vennootschap
OLAI,AW,Vereniging
P65N,AW,Naamloze vennootschap
PCRJ,AW,Cooperatieve vereniging
PT6C,AW,Eenmanszaak
REUP,AW,Aruba vrijgestelde vennootschap
T5RL,AW,Vennootschap buitenlands recht
UV8T,AW,Maatschap
V905,AW,Vennootschap met beperkte aansprakelijkheid
YCV2,AW,Commanditaire vennootschap (1+)
6W6X,AU,Co-operative
BC38,AU,Incorporated association
J4JC,AU,Limited Partnership
LZFR,AU,Public Company limited by guarantee
PQHL,AU,No Liability Company
Q82Q,AU,Unlimited Proprietary Company
R4KK,AU,Public Company limited by shares
TXVC,AU,Limited Proprietary Company
XHCV,AU,Indigenous Corporation
1NOX,AT,Sonstiger Rechtsträger
5WWO,AT,Privatstiftung
69H1,AT,Europäische Genossenschaft (SCE)
AAL7,AT,Kommandit-Erwerbsgesellschaft
AXSB,AT,Gesellschaft mit beschränkter Haftung
CAQ1,AT,Versicherungsverein auf Gegenseitigkeit
DM88,AT,Europäische wirtschaftliche Interessenvereinigung
ECWU,AT,Einzelunternehmer
EQOV,AT,Aktiengesellschaft
G3R6,AT,Einzelkaufmann
GVPD,AT,Offene Handelsgesellschaft
JQOI,AT,Sparkasse
JTAV,AT,Offene Gesellschaft
JUHG,AT,Offene Erwerbsgesellschaft
NIJH,AT,Erwerbs- und Wirtschaftsgenossenschaft
O65B,AT,Europäische Gesellschaft (SE)
ONF1,AT,Kommanditgesellschaft
1TX8,BE,Kommanditgesellschaft auf Aktien mit sozialerZielsetzung
2QSA,BE,Genossenschaft mit beschränkter Haftung mitsozialer Zielsetzung
36KV,BE,Europäische Gesellschaft (Societas Europaea)
3LMA,BE,Ausländische Gesellschaft
3N94,BE,Unternehmen natürliche Person
4E5P,BE,Genossenschaft mit unbeschränkter Haftung mitsozialer Zielsetzung
7SJP,BE,Europäische wirtschaftliche Interessenvereinigung
8E2A,BE,Genossenschaft mit beschränkter Haftung
8YLB,BE,Einrichtung ohne Gewinnerzielungsabsicht
B910,BE,Offene Handelsgesellschaft mit sozialer Zielsetzung
C609,BE,Privatgesellschaft mit beschränkter Haftung miteinem Alleingesellschafter
CFH5,BE,Gesellschaften oder Vereinigungen ohneRechtspersönlichkeit
EDMK,BE,Öffentlich-rechtliche Vereinigung ohneGewinnerzielungsabsicht
EXY8,BE,"Öffentlich-rechtliche Genossenschaft mitunbeschränkter Haftung, Genossenschaft aufBeteiligung"
J5OU,BE,Wirtschaftliche Interessenvereinigung
JNAD,BE,Privatgesellschaft mit beschränkter Haftung mitsozialer Zielsetzung
KLBO,BE,Zivilrechtliche Gesellschaft in der Rechtsform einerKommanditgesellschaft auf Aktien
KM6O,BE,Gesellschaft des allgemeinen Rechts
LWHF,BE,Genossenschaft mit unbeschränkter Haftung
LWV6,BE,Einfache Kommanditgesellschaft
N5NT,BE,Privatgesellschaft mit beschränkter Haftung
O59C,BE,Wirtschaftliche Interessenvereinigung mit sozialerZielsetzung
O5HQ,BE,Zivilrechtliche Gesellschaft in der Rechtsform einerGenossenschaft mit beschränkter Haftung
PVT3,BE,Privatgesellschaft mit beschränkter Haftung mitsozialer Zielsetzung mit einem Alleingesellschafter
QZIS,BE,Öffentliche Einrichtung
R85P,BE,Aktiengesellschaft
T922,BE,Zivilrechtliche Gesellschaft in der Rechtsform einereinfachen Kommanditgesellschaft
TPTU,BE,Öffentlich-rechtliche Aktiengesellschaft
U2PN,BE,Kommanditgesellschaft auf Aktien
U5KF,BE,Zivilrechtliche Gesellschaft in der Rechtsform eineroffenen Handelsgesellschaft
UCT9,BE,Zivilrechtliche Gesellschaft in der Rechtsform einerlandwirtschaftlichen Gesellschaft
UW1Y,BE,Offene Handelsgesellschaft
V03J,BE,Internationale Vereinigung ohneGewinnerzielungsabsicht
V8L7,BE,Zivilrechtliche Gesellschaft in der Rechtsform einerPrivatgesellschaft mit beschränkter Haftung
W3WH,BE,Vereinigung ohne Gewinnerzielungsabsicht
WTLP,BE,Zivilrechtliche Gesellschaft in der Rechtsform einerGenossenschaft mit unbeschränkter Haftung
X8ZK,BE,Öffentlich-rechtliche Genossenschaft mitbeschränkter Haftung
XLEO,BE,Einfache Kommanditgesellschaft mit sozialerZielsetzung
XQZX,BE,Zivilrechtliche Gesellschaft in der Rechtsform einerAktiengesellschaft
Y1Q4,BE,Privatstiftung
YBHM,BE,Europäische Genossenschaft
ZOK2,BE,Landwirtschaftliche Gesellschaft
ZSFX,BE,Aktiengesellschaft mit sozialer Zielsetzung
